Id,Label,Type,Int Type
ancora,ancora,Words,1
un,un,Words,1
alto,alto,Words,1
il,il,Words,1
mani,mani,Words,1
del,del,Words,1
dreamin,dreamin,Words,1
hold,hold,Words,1
arm,arm,Words,1
mine,mine,Words,1
whenever,whenever,Words,1
die,die,Words,1
make,make,Words,1
blue,blue,Words,1
life,life,Words,1
trouble,trouble,Words,1
away,away,Words,1
whiz,whiz,Words,1
love,love,Words,1
anytime,anytime,Words,1
’,’,Words,1
could,could,Words,1
charm,charm,Words,1
night,night,Words,1
day,day,Words,1
need,need,Words,1
feel,feel,Words,1
lip,lip,Words,1
tight,tight,Words,1
want,want,Words,1
taste,taste,Words,1
gee,gee,Words,1
wine,wine,Words,1
dream,dream,Words,1
lose,lose,Words,1
british,british,Words,1
trip,trip,Words,1
well,well,Words,1
hound,hound,Words,1
jackson,jackson,Words,1
nigh,nigh,Words,1
grab,grab,Words,1
kep,kep,Words,1
powder,powder,Words,1
colonel,colonel,Words,1
wasnt,wasnt,Words,1
sound,sound,Words,1
musket,musket,Words,1
head,head,Words,1
bush,bush,Words,1
squirrel,squirrel,Words,1
give,give,Words,1
must,must,Words,1
begin,begin,Words,1
mind,mind,Words,1
melt,melt,Words,1
new,new,Words,1
thing,thing,Words,1
another,another,Words,1
acomin,acomin,Words,1
say,say,Words,1
hold,hold,Words,1
beatin,beatin,Words,1
ball,ball,Words,1
many,many,Words,1
rabbit,rabbit,Words,1
barrel,barrel,Words,1
make,make,Words,1
come,come,Words,1
hundred,hundred,Words,1
touch,touch,Words,1
mississip,mississip,Words,1
gulf,gulf,Words,1
bramble,bramble,Words,1
little,little,Words,1
bugle,bugle,Words,1
open,open,Words,1
threefour,threefour,Words,1
till,till,Words,1
til,til,Words,1
go,go,Words,1
old,old,Words,1
face,face,Words,1
town,town,Words,1
along,along,Words,1
eye,eye,Words,1
yeah,yeah,Words,1
huttwothreefour,huttwothreefour,Words,1
ago,ago,Words,1
briar,briar,Words,1
seed,seed,Words,1
drum,drum,Words,1
ring,ring,Words,1
1814,1814,Words,1
mississippi,mississippi,Words,1
high,high,Words,1
bale,bale,Words,1
cotton,cotton,Words,1
could,could,Words,1
surprise,surprise,Words,1
really,really,Words,1
hickory,hickory,Words,1
round,round,Words,1
